CustomerKey,FirstName,LastName,FullName,DateFirstPurchase,CustomerCity,Gender
11000,Jon,Yang,Jon Yang,2011-01-19,Rockhampton,Male
11001,Eugene,Huang,Eugene Huang,2011-01-15,Seaford,Male
11002,Ruben,Torres,Ruben Torres,2011-01-07,Hobart,Male
11003,Christy,Zhu,Christy Zhu,2010-12-29,North Ryde,Female
11004,Elizabeth,Johnson,Elizabeth Johnson,2011-01-23,Wollongong,Female
11005,Julio,Ruiz,Julio Ruiz,2010-12-30,East Brisbane,Male
11006,Janet,Alvarez,Janet Alvarez,2011-01-24,Matraville,Female
11007,Marco,Mehta,Marco Mehta,2011-01-09,Warrnambool,Male
11008,Rob,Verhoff,Rob Verhoff,2011-01-25,Bendigo,Female
11009,Shannon,Carlson,Shannon Carlson,2011-01-27,Hervey Bay,Male
11010,Jacquelyn,Suarez,Jacquelyn Suarez,2011-01-14,East Brisbane,Female
11011,Curtis,Lu,Curtis Lu,2010-12-30,East Brisbane,Male
11012,Lauren,Walker,Lauren Walker,2013-03-16,Bremerton,Female
11013,Ian,Jenkins,Ian Jenkins,2013-04-13,Lebanon,Male
11014,Sydney,Bennett,Sydney Bennett,2013-03-23,Redmond,Female
11015,Chloe,Young,Chloe Young,2013-01-18,Burbank,Female
11016,Wyatt,Hill,Wyatt Hill,2013-02-09,Imperial Beach,Male
11017,Shannon,Wang,Shannon Wang,2011-01-12,Sunbury,Female
11018,Clarence,Rai,Clarence Rai,2011-01-17,Bendigo,Male
11019,Luke,Lal,Luke Lal,2013-02-12,Langley,Male
11020,Jordan,King,Jordan King,2012-12-29,Metchosin,Male
11021,Destiny,Wilson,Destiny Wilson,2013-01-23,Beaverton,Female
11022,Ethan,Zhang,Ethan Zhang,2013-01-20,Bellingham,Male
11023,Seth,Edwards,Seth Edwards,2013-02-17,Bellflower,Male
11024,Russell,Xie,Russell Xie,2013-06-27,Concord,Male
11025,Alejandro,Beck,Alejandro Beck,2011-01-06,Hawthorne,Male
11026,Harold,Sai,Harold Sai,2011-01-23,Goulburn,Male
11027,Jessie,Zhao,Jessie Zhao,2011-01-16,Warrnambool,Male
11028,Jill,Jimenez,Jill Jimenez,2011-01-26,St. Leonards,Female
11029,Jimmy,Moreno,Jimmy Moreno,2011-01-19,Bendigo,Male
11030,Bethany,Yuan,Bethany Yuan,2011-02-05,Cloverdale,Female
11031,Theresa,Ramos,Theresa Ramos,2011-02-01,Matraville,Female
11032,Denise,Stone,Denise Stone,2011-02-18,Melbourne,Female
11033,Jaime,Nath,Jaime Nath,2011-02-15,Milsons Point,Male
11034,Ebony,Gonzalez,Ebony Gonzalez,2011-02-01,North Sydney,Female
11035,Wendy,Dominguez,Wendy Dominguez,2011-02-06,Cranbourne,Female
11036,Jennifer,Russell,Jennifer Russell,2013-01-22,National City,Female
11037,Chloe,Garcia,Chloe Garcia,2013-01-20,Cliffside,Female
11038,Diana,Hernandez,Diana Hernandez,2011-02-07,Lavender Bay,Female
11039,Marc,Martin,Marc Martin,2011-02-07,Wollongong,Male
11040,Jesse,Murphy,Jesse Murphy,2013-04-03,Tacoma,Male
11041,Amanda,Carter,Amanda Carter,2013-01-14,Glendale,Female
11042,Megan,Sanchez,Megan Sanchez,2013-01-21,Los Angeles,Female
11043,Nathan,Simmons,Nathan Simmons,2013-05-08,Glendale,Male
11044,Adam,Flores,Adam Flores,2011-02-28,Hervey Bay,Male
11045,Leonard,Nara,Leonard Nara,2013-04-10,Matraville,Male
11046,Christine,Yuan,Christine Yuan,2011-02-06,Lavender Bay,Female
11047,Jaclyn,Lu,Jaclyn Lu,2011-02-03,Geelong,Female
11048,Jeremy,Powell,Jeremy Powell,2011-02-10,Sunbury,Male
11049,Carol,Rai,Carol Rai,2013-03-09,Chula Vista,Female
11050,Alan,Zheng,Alan Zheng,2011-02-20,Hobart,Male
11051,Daniel,Johnson,Daniel Johnson,2013-12-29,Caloundra,Male
11052,Heidi,Lopez,Heidi Lopez,2011-02-17,Matraville,Female
11053,Ana,Price,Ana Price,2013-01-17,San Diego,Female
11054,Deanna,Munoz,Deanna Munoz,2011-02-03,Geelong,Female
11055,Gilbert,Raje,Gilbert Raje,2011-01-31,East Brisbane,Male
11056,Michele,Nath,Michele Nath,2011-02-26,Newcastle,Female
11057,Carl,Andersen,Carl Andersen,2011-02-22,Lane Cove,Male
11058,Marc,Diaz,Marc Diaz,2011-03-09,Findon,Male
11059,Ashlee,Andersen,Ashlee Andersen,2013-02-18,Townsville,Female
11060,Jon,Zhou,Jon Zhou,2011-03-19,Warrnambool,Male
11061,Todd,Gao,Todd Gao,2011-03-13,Gold Coast,Male
11062,Noah,Powell,Noah Powell,2013-01-07,Portland,Male
11063,Angela,Murphy,Angela Murphy,2013-01-12,Redmond,Female
11064,Chase,Reed,Chase Reed,2013-01-25,Downey,Male
11065,Jessica,Henderson,Jessica Henderson,2013-02-10,La Jolla,Female
11066,Grace,Butler,Grace Butler,2013-05-31,Lebanon,Female
11067,Caleb,Carter,Caleb Carter,2013-08-18,Port Orchard,Male
11068,Tiffany,Liang,Tiffany Liang,2013-04-30,Warrnambool,Female
11069,Carolyn,Navarro,Carolyn Navarro,2011-04-17,Gold Coast,Female
11070,Willie,Raji,Willie Raji,2011-04-28,Sunbury,Male
11071,Linda,Serrano,Linda Serrano,2013-03-01,Hawthorne,Female
11072,Casey,Luo,Casey Luo,2011-03-31,St. Leonards,Female
11073,Amy,Ye,Amy Ye,2013-03-23,Springwood,Female
11074,Levi,Arun,Levi Arun,2013-03-23,Cloverdale,Male
11075,Felicia,Jimenez,Felicia Jimenez,2011-04-28,Bendigo,Female
11076,Blake,Anderson,Blake Anderson,2011-04-21,Wollongong,Male
11077,Leah,Ye,Leah Ye,2011-04-15,Melton,Female
11078,Gina,Martin,Gina Martin,2013-02-15,Cliffside,Female
11079,Donald,Gonzalez,Donald Gonzalez,2013-03-15,Geelong,Male
